Date : 2020-04-29 07:38:19
Directory : e:\DATA\document\VsCode\geofs_app
Total : 299 files,  937723 codes, 520162 comments, 172076 blanks, all 1629961 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\lib\geofs.js                                                                     | JavaScript |        412 |          6 |         10 |        428 |
| src\lib\lib\tinycolor.js                                                             | JavaScript |        935 |          2 |         36 |        973 |
| src\lib\modules\Object3D.js                                                          | JavaScript |        253 |          0 |          2 |        255 |
| src\lib\modules\OverLay.js                                                           | JavaScript |        258 |          0 |          6 |        264 |
| src\lib\modules\audio.js                                                             | JavaScript |        309 |          2 |          2 |        313 |
| src\lib\modules\camera.js                                                            | JavaScript |        316 |          0 |          5 |        321 |
| src\lib\modules\controls.js                                                          | JavaScript |        904 |         12 |          6 |        922 |
| src\lib\modules\flight.js                                                            | JavaScript |        545 |         51 |          4 |        600 |
| src\lib\modules\instruments.js                                                       | JavaScript |      1,570 |         15 |          2 |      1,587 |
| src\lib\modules\objects.js                                                           | JavaScript |        145 |          1 |          4 |        150 |
| src\lib\modules\rigidBody.js                                                         | JavaScript |        130 |          7 |          2 |        139 |
| src\lib\modules\weather.js                                                           | JavaScript |        289 |          1 |          5 |        295 |
| src\lib\ui\hud.js                                                                    | JavaScript |         46 |          2 |          0 |         48 |
| src\lib\ui\map.js                                                                    | JavaScript |         88 |          1 |          3 |         92 |
| src\lib\ui\ui.js                                                                     | JavaScript |        130 |          0 |          1 |        131 |
| src\lib\utils\AircraftList.js                                                        | JavaScript |         66 |          0 |          0 |         66 |
| src\lib\utils\aircraftRange.js                                                       | JavaScript |        167 |          2 |          0 |        169 |
| src\lib\utils\jscomp.js                                                              | JavaScript |        638 |          0 |          1 |        639 |
| src\lib\utils\majorRunwayGrid.js                                                     | JavaScript |      4,038 |          0 |          1 |      4,039 |
| src\lib\utils\utils.js                                                               | JavaScript |        822 |          6 |         32 |        860 |
| src\main.js                                                                          | JavaScript |         15 |          3 |          0 |         18 |
| src\store\store.js                                                                   | JavaScript |         24 |          0 |          1 |         25 |
| src\template.vue                                                                     | Vue        |         19 |          0 |          6 |         25 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_0.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_1.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_10.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_11.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_12.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_13.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_14.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_15.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_16.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_17.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_18.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_19.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_2.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_20.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_21.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_22.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_23.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_24.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_25.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_26.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_27.json                                  | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_3.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_4.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_5.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_6.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_7.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_8.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\IAU2006_XYS\IAU2006_XYS_9.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\Assets\Textures\pin.svg                                                 | XML        |          1 |          0 |          0 |          1 |
| static\Build\Assets\approximateTerrainHeights.json                                   | JSON       |          1 |          0 |          0 |          1 |
| static\Build\GeoVis.js                                                               | JavaScript |    174,429 |     79,015 |     34,023 |    287,467 |
| static\Build\ThirdParty\Workers\deflate.js                                           | JavaScript |      1,297 |        493 |        322 |      2,112 |
| static\Build\ThirdParty\Workers\draco_decoder.js                                     | JavaScript |         19 |         25 |         11 |         55 |
| static\Build\ThirdParty\Workers\draco_wasm_wrapper.js                                | JavaScript |        129 |         22 |          1 |        152 |
| static\Build\ThirdParty\Workers\inflate.js                                           | JavaScript |      1,704 |        202 |        281 |      2,187 |
| static\Build\ThirdParty\google-earth-dbroot-parser.js                                | JavaScript |          1 |          0 |          0 |          1 |
| static\Build\Workers\cesiumWorkerBootstrapper.js                                     | JavaScript |          1 |         27 |          1 |         29 |
| static\Build\Workers\combineGeometry.js                                              | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createBoxGeometry.js                                            | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createBoxOutlineGeometry.js                                     | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createCircleGeometry.js                                         | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createCircleOutlineGeometry.js                                  | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createCoplanarPolygonGeometry.js                                | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createCoplanarPolygonOutlineGeometry.js                         | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createCorridorGeometry.js                                       | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createCorridorOutlineGeometry.js                                | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createCylinderGeometry.js                                       | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createCylinderOutlineGeometry.js                                | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createEllipseGeometry.js                                        | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createEllipseOutlineGeometry.js                                 | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createEllipsoidGeometry.js                                      | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createEllipsoidOutlineGeometry.js                               | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createFrustumGeometry.js                                        | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createFrustumOutlineGeometry.js                                 | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createGeometry.js                                               | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createGroundPolylineGeometry.js                                 | JavaScript |          2 |        225 |          4 |        231 |
| static\Build\Workers\createPlaneGeometry.js                                          | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createPlaneOutlineGeometry.js                                   | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createPointGeometry.js                                          | JavaScript |      6,451 |      4,884 |      1,326 |     12,661 |
| static\Build\Workers\createPolygonGeometry.js                                        | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createPolygonOutlineGeometry.js                                 | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createPolylineGeometry.js                                       | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createPolylineVolumeGeometry.js                                 | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createPolylineVolumeOutlineGeometry.js                          | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createRectangleGeometry.js                                      | JavaScript |          5 |        223 |          4 |        232 |
| static\Build\Workers\createRectangleOutlineGeometry.js                               | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createSimplePolylineGeometry.js                                 | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createSphereGeometry.js                                         | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createSphereOutlineGeometry.js                                  | JavaScript |          5 |        221 |          4 |        230 |
| static\Build\Workers\createVectorTileGeometries.js                                   | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createVectorTilePoints.js                                       | JavaScript |          2 |         70 |          2 |         74 |
| static\Build\Workers\createVectorTilePolygons.js                                     | JavaScript |          5 |        222 |          4 |        231 |
| static\Build\Workers\createVectorTilePolylines.js                                    | JavaScript |          2 |         70 |          2 |         74 |
| static\Build\Workers\createVerticesFromGoogleEarthEnterpriseBuffer.js                | JavaScript |          4 |        223 |          4 |        231 |
| static\Build\Workers\createVerticesFromHeightmap.js                                  | JavaScript |          4 |        223 |          4 |        231 |
